                                   Rank 4 fitness=-14	weights=[1.333, 0, 0, -4.742, 0, -2.395, 0, 1, 0, -1, 0]	 game_history=[-30, 16]
2020-03-13 18:25:22.081598 - G20:  Rank 0 fitness=8	weights=[1.333, 0, 0, -4.742, 0, -2.395, 0, 1, 0, -1, 0]	 game_history=[-8, 16]
                                   Rank 1 fitness=4	weights=[1.333, 0, 0, -4.742, 0, -1.219, 0, 0.688, 0, 1, 0]	 game_history=[-10, 14]
                                   Rank 2 fitness=2	weights=[3.27, 0, 0, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 12]
                                   Rank 3 fitness=-2	weights=[1.333, 0, 0, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 4 fitness=-2	weights=[1.333, 0, 0.288, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
2020-03-13 18:25:30.679284 - G21:  Rank 0 fitness=8	weights=[1.333, 0, 0, -4.742, 0, -2.395, 0, 1, 0, -1, 0]	 game_history=[-8, 16]
                                   Rank 1 fitness=4	weights=[1.333, 0, 0, -4.742, 0, -1.219, 0, 0.688, 0, 1, 0]	 game_history=[-10, 14]
                                   Rank 2 fitness=2	weights=[3.27, 0, 0, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 12]
                                   Rank 3 fitness=-2	weights=[1.333, 0, 0, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 4 fitness=-2	weights=[1.333, 0, 0.288, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
2020-03-13 18:25:39.824625 - G22:  Rank 0 fitness=4	weights=[1.333, 0, 0, -4.742, 0, -1.219, 0, 0.688, 0, 1, 0]	 game_history=[-10, 14]
                                   Rank 1 fitness=2	weights=[3.27, 0, 0, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 12]
                                   Rank 2 fitness=-2	weights=[1.333, 0, 0, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 3 fitness=-2	weights=[1.333, 0, 0.288, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 4 fitness=-10	weights=[1.333, 0, 0, -4.742, 0, -2.395, 0, -1, -1.814, -1, 0]	 game_history=[-26, 16]
2020-03-13 18:25:49.938259 - G23:  Rank 0 fitness=2	weights=[3.27, 0, 0, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 12]
                                   Rank 1 fitness=-2	weights=[1.333, 0, 0, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 2 fitness=-2	weights=[1.333, 0, 0.288, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
