                                   Rank 3 fitness=10	weights=[4.54, 3.623, 1.008, 0.393, -1.003, 0.089, 0.474, 1.061, -1.637, -3.26, -0.168, -4.853, -1.153, 0.184, 0.516, -0.106, 2.317, 4.152, -5.305]	 game_history=[-14, 24]
                                   Rank 4 fitness=8	weights=[-1.687, 0.951, -2.438, -1.289, 0.75, 1.335, -2.018, 1.218, -6.215, -3.635, 2.278, 1.517, -1.554, 1, -1, 3.854, 1.268, 3.015, 1.014]	 game_history=[-20, 28]
2020-03-07 01:15:59.998192 - G10:  Rank 0 fitness=38	weights=[-0.244, 2.199, -0.321, 1.491, 2.311, 1.024, 0.139, 3.755, -3.776, -0.128, -2.311, -3.356, 2.148, -2.301, -3.378, 2.485, -0.201, -1.747, 2.227]	 game_history=[16, 22]
                                   Rank 1 fitness=28	weights=[1.346, 12.291, -3.621, 1.529, 0.253, -0.812, 1.817, -2.305, -5.189, 2.127, 0.159, 1.512, -1.554, 1.583, -3.135, -0.308, -3.853, 0.696, 0.732]	 game_history=[12, 16]
                                   Rank 2 fitness=26	weights=[1.221, 0.951, -3.567, 1.598, -1.565, 1.897, 3.177, 3.003, -1.036, -3.769, 1.041, 1.457, -0.934, -0.349, -3.741, -2.24, 1.268, -0.379, 1.371]	 game_history=[11, 15]
                                   Rank 3 fitness=21	weights=[-0.056, -0.951, -2.438, 3.634, 1.608, 1.911, -2.018, 1.218, -6.507, 2.127, 1.66, 1.512, -1.554, 2.581, -3.712, 3.854, -1.268, 3.015, -1.014]	 game_history=[9, 12]
                                   Rank 4 fitness=16	weights=[5.991, 3.623, 1.008, -0.328, -1.003, -2.382, 0.474, -1.061, 0.295, -3.26, -1.827, -4.853, 2.673, 0.184, -0.516, 0.106, -1.136, 1.255, -5.305]	 game_history=[5, 11]
2020-03-07 01:16:12.399319 - G11:  Rank 0 fitness=37	weights=[1.221, -0.951, -3.567, 1.598, 1.615, -0.681, 3.067, 3.003, -2.382, -3.769, 1.041, 1.457, -0.934, -0.349, 5.432, 2.24, 1.056, -4.689, -1.371]	 game_history=[20, 17]
                                   Rank 1 fitness=13	weights=[1.221, 0.951, -3.567, 1.598, -1.565, 1.897, 3.177, 3.003, -1.036, -3.769, 1.041, 1.457, -0.934, -0.349, -3.741, -2.24, 1.268, -0.379, 1.371]	 game_history=[0, 13]
                                   Rank 2 fitness=11	weights=[3.51, -2.588, -1.248, -3.634, 0.481, 1.911, -2.018, 3.292, 5.346, 2.127, 1.66, -1.512, -1.387, 2.581, -3.712, 3.854, -1.268, 3.015, -1.014]	 game_history=[6, 5]
                                   Rank 3 fitness=-6	weights=[-0.244, 2.199, -0.321, 1.491, 2.311, 1.024, 0.139, 3.755, -3.776, -0.128, -2.311, -3.356, 2.148, -2.301, -3.378, 2.485, -0.201, -1.747, 2.227]	 game_history=[-14, 8]
                                   Rank 4 fitness=-6	weights=[2.901, 12.291, -3.621, 1.529, 0.253, 2.384, 1.817, 4.048, -2.697, 3.671, 0.159, 1.38, 1.554, -2.851, -3.135, 1.031, 3.853, 0.696, -0.732]	 game_history=[2, -8]
2020-03-07 01:16:27.257894 - G12:  Rank 0 fitness=56	weights=[0.244, 4.472, -0.321, 1.491, -1.681, 1.024, 1.517, -3.755, -2.832, -0.128, 2.311, 3.356, -3.031, -2.301, -3.378, -2.485, 0.154, -1.747, 1.354]	 game_history=[23, 33]
                                   Rank 1 fitness=13	weights=[3.117, -0.951, 3.567, 1.598, 1.615, 0.145, -3.067, 3.003, -1.223, -1.628, 0.118, -0.616, 0.934, 0.193, 7.062, 3.271, -0.762, -4.689, -1.371]	 game_history=[13, 0]
                                   Rank 2 fitness=5	weights=[-1.523, 0.873, 6.192, -6.319, 1.429, 1.11, -0.139, 6.88, -2.273, -5.725, 1.041, -1.444, -1.372, -0.349, 0.101, 2.24, 1.268, 0.379, -1.016]	 game_history=[-7, 12]
                                   Rank 3 fitness=2	weights=[1.221, 0.951, -3.567, 1.598, -1.565, 1.897, 3.177, 3.003, -1.036, -3.769, 1.041, 1.457, -0.934, -0.349, -3.741, -2.24, 1.268, -0.379, 1.371]	 game_history=[-14, 16]
                                   Rank 4 fitness=0	weights=[0.49, -11.001, -2.8, 1.529, 0.253, 0.325, -2.018, -2.859, 5.346, -3.328, 2.934, -1.512, -1.387, -0.721, 0.87, 0.308, 4.605, -0.696, 0.732]	 game_history=[1, -1]
2020-03-07 01:16:41.379234 - G13:  Rank 0 fitness=43	weights=[3.117, -0.951, -4.299, -1.598, -1.615, -0.464, 3.067, -1.613, -1.223, -1.628, -1.397, -0.616, 1.94, 1.342, 6.736, -0.222, -2.459, -4.689, -1.371]	 game_history=[24, 19]
                                   Rank 1 fitness=18	weights=[-0.49, -8.84, -2.8, -1.529, 0.253, -2.034, 1.517, -4.09, -4.422, 0.128, -2.311, -4.348, 5.149, 1.67, -3.378, -2.016, -5.446, -0.696, -0.732]	 game_history=[14, 4]
                                   Rank 2 fitness=4	weights=[3.117, -0.951, 3.567, 1.598, 1.615, 0.145, -3.067, 3.003, -1.223, -1.628, 0.118, -0.616, 0.934, 0.193, 7.062, 3.271, -0.762, -4.689, -1.371]	 game_history=[-4, 8]
                                   Rank 3 fitness=0	weights=[5.781, -3.729, -3.727, -3.634, 2.507, 3.171, 0.102, 1.756, -2.778, 2.127, 3.122, 0.411, 0.901, 1.554, -3.712, -6.299, -2.704, -3.015, 1.014]	 game_history=[-3, 3]
                                   Rank 4 fitness=-2	weights=[5.48, 0.772, -3.567, -1.598, 0.953, 1.897, -3.177, -3.003, -1.036, -3.769, 1.041, -1.457, 0.934, -0.259, 2.867, -2.24, -1.268, -0.379, 3.065]	 game_history=[-29, 27]
2020-03-07 01:16:55.516558 - G14:  Rank 0 fitness=56	weights=[5.781, 1.943, -2.873, 3.634, -2.507, -3.171, -0.102, -1.756, -2.778, 3.635, 3.122, 0.163, 0.969, 1.554, -4.512, -5.784, -5.005, 3.015, 1.014]	 game_history=[28, 28]
                                   Rank 1 fitness=28	weights=[1.723, 0.772, 4.299, 1.47, -1.615, 0.464, 3.067, -1.613, -1.223, -1.866, -1.397, 0.616, 1.266, 1.732, 8.048, 2.344, -2.459, 4.689, 3.053]	 game_history=[20, 8]
                                   Rank 2 fitness=10	weights=[3.117, -0.951, 3.567, 1.598, 1.615, 0.145, -3.067, 3.003, -1.223, -1.628, 0.118, -0.616, 0.934, 0.193, 7.062, 3.271, -0.762, -4.689, -1.371]	 game_history=[-13, 23]
                                   Rank 3 fitness=-2	weights=[-0.244, -5.75, 0.321, -2.168, -0.716, 1.024, 2.953, -3.755, -2.832, 1.496, 2.311, 3.356, -1.802, -2.301, -2.889, -2.485, 0.154, 2.67, -1.354]	 game_history=[-1, -1]
                                   Rank 4 fitness=-7	weights=[3.117, -0.951, 4.299, -1.598, -1.798, -1.145, 3.067, -1.831, -1.223, -2.053, 0.06, 0.616, 1.94, 1.342, -6.736, 0.222, -0.002, 4.689, -3.318]	 game_history=[1, -8]
2020-03-07 01:17:10.224291 - G15:  Rank 0 fitness=0	weights=[3.117, -0.951, 3.567, 1.598, 1.615, 0.145, -3.067, 3.003, -1.223, -1.628, 0.118, -0.616, 0.934, 0.193, 7.062, 3.271, -0.762, -4.689, -1.371]	 game_history=[-29, 29]
