2020-03-14 01:26:00.416334 - G25:  Rank 0 fitness=44	weights=[1, -1, -2.361, 0, -0.618, -0.713, -2.766, 0, -1.645, 0, 0]	 game_history=[22, 22]
                                   Rank 1 fitness=44	weights=[1, -1, -2.361, 0, 0.8, 0.68, -3.576, 0, -1.645, 0, 0]	 game_history=[20, 24]
                                   Rank 2 fitness=34	weights=[1, -1, -2.361, 0, -1.458, 0.395, -3.576, 0, -1.645, 0, 0]	 game_history=[20, 14]
                                   Rank 3 fitness=30	weights=[1, -1, -2.361, 0, 0.8, 0.68, -3.576, 1.94, -1.645, 0, 0]	 game_history=[8, 22]
                                   Rank 4 fitness=28	weights=[1, -1, -2.361, 0, 0.8, 0.68, -3.576, 0, -1.009, 0, 0]	 game_history=[10, 18]
2020-03-14 01:26:15.379776 - G26:  Rank 0 fitness=50	weights=[1, 0.157, -2.361, 0, -0.618, -0.713, -2.766, 0, -1.009, 0, 0]	 game_history=[28, 22]
                                   Rank 1 fitness=48	weights=[1, -1, -2.361, 0, -1.458, 0.395, -2.209, 0, -1.645, 0, 0]	 game_history=[24, 24]
                                   Rank 2 fitness=40	weights=[1, -0.686, -2.361, 0, -0.618, -0.713, -2.766, 0, -1.645, 0, 0]	 game_history=[18, 22]
                                   Rank 3 fitness=30	weights=[1, -1, -2.361, 0, -0.618, -0.713, -2.766, 0, -1.645, 0, 0]	 game_history=[16, 14]
                                   Rank 4 fitness=30	weights=[1, -1, -2.361, 0, 0.8, 0.68, -3.576, 0, -1.645, 0, 0]	 game_history=[16, 14]
2020-03-14 01:26:30.639911 - G27:  Rank 0 fitness=44	weights=[1, -1, -2.361, 0, -1.458, 0.395, -2.209, 0, -1.645, 0, 0]	 game_history=[20, 24]
                                   Rank 1 fitness=36	weights=[1, -1, -2.361, 0, -1.458, 0.395, -2.975, 0, -1.645, 0, 0]	 game_history=[4, 32]
                                   Rank 2 fitness=32	weights=[1, -1.759, -2.361, 0, 0.618, -0.713, -2.766, 0, -1.645, 0, 0]	 game_history=[16, 16]
                                   Rank 3 fitness=30	weights=[1, 0.157, -2.361, 0, -0.618, -0.713, -2.766, 0, -1.009, 0, 0]	 game_history=[16, 14]
                                   Rank 4 fitness=30	weights=[1, -1, -2.361, 0, 0.8, 0.68, -3.576, 0, -1.645, 0, 0]	 game_history=[14, 16]
2020-03-14 01:26:46.259674 - G28:  Rank 0 fitness=44	weights=[1, -1, -2.361, 0.218, 1.458, 0.395, -2.209, 0, -1.645, 0, 0]	 game_history=[34, 10]
                                   Rank 1 fitness=34	weights=[1, -1, -2.361, 0, -1.458, 0.395, -2.975, 0, -1.645, 0, 0]	 game_history=[14, 20]
                                   Rank 2 fitness=24	weights=[1, -1, -2.361, 0, -1.458, 0.395, -2.209, 0, -1.645, 0, 0]	 game_history=[10, 14]
                                   Rank 3 fitness=22	weights=[1, 0.157, -2.361, 0, -0.618, -0.713, -2.766, 0, -1.009, 0, 0]	 game_history=[14, 8]
                                   Rank 4 fitness=22	weights=[-0.515, -1, -2.361, 0, -1.458, 0.395, -2.975, 0, -1.645, 0, 0]	 game_history=[4, 18]
2020-03-14 01:27:01.462869 - G29:  Rank 0 fitness=38	weights=[1, -1, -2.361, 0.218, -1.458, 0.395, -2.209, 1.014, -1.645, 0, 0]	 game_history=[28, 10]
                                   Rank 1 fitness=34	weights=[1, -1, -2.361, 0.218, 1.458, 0.395, -2.209, 0, -1.645, 0, 0]	 game_history=[18, 16]
