2020-03-07 00:05:47.717221 - G2:    best_fitness=-31	best_weights=[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0]	 game_history=[-13, -18]
2020-03-07 00:18:55.159631 - G18:   best_fitness=31	best_weights=[0.736, 0.066, 0.334, 0.536, -1.174, -0.18, 0.028, 0.203, -0.454, -0.554, 1, -0.398, 0.08, -1.475, 1.139, 0.31, -0.178, -1.191, -1.478]	 game_history=[19, 12]
2020-03-07 00:19:44.107881 - G19:   best_fitness=31	best_weights=[0.736, 0.066, 0.334, 0.536, -1.174, -0.18, 0.028, 0.203, -0.454, -0.554, 1, -0.398, 0.08, -1.475, 1.139, 0.31, -0.178, -1.191, -1.478]	 game_history=[19, 12]
2020-03-07 00:20:33.301910 - G20:   best_fitness=31	best_weights=[0.736, 0.066, 0.334, 0.536, -1.174, -0.18, 0.028, 0.203, -0.454, -0.554, 1, -0.398, 0.08, -1.475, 1.139, 0.31, -0.178, -1.191, -1.478]	 game_history=[19, 12]
2020-03-07 00:21:23.493564 - G21:   best_fitness=33	best_weights=[-0.259, 0.622, 0.17, 1.101, -1.578, 0.135, -1.435, -0.302, -0.318, -1.615, 0.896, 0.586, 0.366, -3.101, 0.764, -1.165, 0, -0.382, 2.56]	 game_history=[23, 10]
2020-03-07 00:22:10.827889 - G22:   best_fitness=33	best_weights=[-0.259, 0.622, 0.17, 1.101, -1.578, 0.135, -1.435, -0.302, -0.318, -1.615, 0.896, 0.586, 0.366, -3.101, 0.764, -1.165, 0, -0.382, 2.56]	 game_history=[23, 10]
2020-03-07 00:22:58.412861 - G23:   best_fitness=33	best_weights=[-0.259, 0.622, 0.17, 1.101, -1.578, 0.135, -1.435, -0.302, -0.318, -1.615, 0.896, 0.586, 0.366, -3.101, 0.764, -1.165, 0, -0.382, 2.56]	 game_history=[23, 10]
2020-03-07 00:23:46.957487 - G24:   best_fitness=35	best_weights=[0.05, 0.765, -0.104, 1.274, -2.022, -0.135, -0.782, 0.59, 0.881, -1.044, -1.044, -0.244, -0.184, 0.659, 0.474, -1.453, -1.684, -1.756, -0.096]	 game_history=[23, 12]
2020-03-07 00:24:35.208304 - G25:   best_fitness=35	best_weights=[0.05, 0.765, -0.104, 1.274, -2.022, -0.135, -0.782, 0.59, 0.881, -1.044, -1.044, -0.244, -0.184, 0.659, 0.474, -1.453, -1.684, -1.756, -0.096]	 game_history=[23, 12]
2020-03-07 00:25:26.329691 - G26:   best_fitness=35	best_weights=[0.05, 0.765, -0.104, 1.274, -2.022, -0.135, -0.782, 0.59, 0.881, -1.044, -1.044, -0.244, -0.184, 0.659, 0.474, -1.453, -1.684, -1.756, -0.096]	 game_history=[23, 12]
2020-03-07 00:26:14.127561 - G27:   best_fitness=35	best_weights=[0.05, 0.765, -0.104, 1.274, -2.022, -0.135, -0.782, 0.59, 0.881, -1.044, -1.044, -0.244, -0.184, 0.659, 0.474, -1.453, -1.684, -1.756, -0.096]	 game_history=[23, 12]
2020-03-07 00:27:02.378067 - G28:   best_fitness=35	best_weights=[0.05, 0.765, -0.104, 1.274, -2.022, -0.135, -0.782, 0.59, 0.881, -1.044, -1.044, -0.244, -0.184, 0.659, 0.474, -1.453, -1.684, -1.756, -0.096]	 game_history=[23, 12]
2020-03-07 00:27:49.798849 - G29:   best_fitness=35	best_weights=[0.05, 0.765, -0.104, 1.274, -2.022, -0.135, -0.782, 0.59, 0.881, -1.044, -1.044, -0.244, -0.184, 0.659, 0.474, -1.453, -1.684, -1.756, -0.096]	 game_history=[23, 12]
2020-03-07 00:28:40.071140 - G30:   best_fitness=35	best_weights=[0.05, 0.765, -0.104, 1.274, -2.022, -0.135, -0.782, 0.59, 0.881, -1.044, -1.044, -0.244, -0.184, 0.659, 0.474, -1.453, -1.684, -1.756, -0.096]	 game_history=[23, 12]
2020-03-07 00:29:28.820014 - G31:   best_fitness=41	best_weights=[0.591, -0.066, 0.862, 0.324, -1.571, -0.225, 1.306, -0.332, -0.789, -2.366, -1.323, 1.553, 0.268, 3.281, -0.355, 1.529, 0.851, -2.354, -0.243]	 game_history=[23, 18]
2020-03-07 00:30:19.549837 - G32:   best_fitness=41	best_weights=[0.591, -0.066, 0.862, 0.324, -1.571, -0.225, 1.306, -0.332, -0.789, -2.366, -1.323, 1.553, 0.268, 3.281, -0.355, 1.529, 0.851, -2.354, -0.243]	 game_history=[23, 18]
2020-03-07 00:31:10.589296 - G33:   best_fitness=41	best_weights=[0.591, -0.066, 0.862, 0.324, -1.571, -0.225, 1.306, -0.332, -0.789, -2.366, -1.323, 1.553, 0.268, 3.281, -0.355, 1.529, 0.851, -2.354, -0.243]	 game_history=[23, 18]
2020-03-07 00:32:00.365769 - G34:   best_fitness=42	best_weights=[0.736, 0.765, -0.104, -1.274, -1.211, 0.331, -0.562, 0.59, 0.881, -1.044, -1, -0.27, 0.634, 1.475, 1.139, -0.31, 0.178, -1.191, -0.921]	 game_history=[21, 21]
2020-03-07 00:32:49.710773 - G35:   best_fitness=42	best_weights=[0.736, 0.765, -0.104, -1.274, -1.211, 0.331, -0.562, 0.59, 0.881, -1.044, -1, -0.27, 0.634, 1.475, 1.139, -0.31, 0.178, -1.191, -0.921]	 game_history=[21, 21]
2020-03-07 00:33:38.062268 - G36:   best_fitness=42	best_weights=[0.736, 0.765, -0.104, -1.274, -1.211, 0.331, -0.562, 0.59, 0.881, -1.044, -1, -0.27, 0.634, 1.475, 1.139, -0.31, 0.178, -1.191, -0.921]	 game_history=[21, 21]
2020-03-07 00:34:26.726771 - G37:   best_fitness=42	best_weights=[0.736, 0.765, -0.104, -1.274, -1.211, 0.331, -0.562, 0.59, 0.881, -1.044, -1, -0.27, 0.634, 1.475, 1.139, -0.31, 0.178, -1.191, -0.921]	 game_history=[21, 21]
2020-03-07 00:35:15.050707 - G38:   best_fitness=42	best_weights=[0.736, 0.765, -0.104, -1.274, -1.211, 0.331, -0.562, 0.59, 0.881, -1.044, -1, -0.27, 0.634, 1.475, 1.139, -0.31, 0.178, -1.191, -0.921]	 game_history=[21, 21]
